MTO,MITIE GROUP PLC,BBG000BFR1G4
MGR,MITON GROUP PLC,BBG000Q4GQ52
1269298D,MITON GROUP PLC,BBG008LT7PW7
MEL,MITSUBISHI ELECTRIC CORP,BBG000BTGTY5
GLE,MJ GLEESON PLC,BBG000BDK9Z8
MOS,MOBILE STREAMS PLC,BBG000LN8BR3
MBT,MOBILE TORNADO GROUP PLC,BBG000Q2QWR8
MBO,MOBILITYONE LTD,BBG000FG4JC8
MWG,MODERN WATER PLC,BBG000BTCDN6
1244585D,MOGULDOM PLC,BBG008892FV4
MLIN,MOLINS PLC,BBG000BDTYH4
MNDI,MONDI PLC,BBG000PQKVN8
MONY,MONEYSUPERMARKET.COM,BBG000CS49X4
SWAP,MONEYSWAP PLC,BBG00217M7T7
MONI,MONITISE PLC,BBG000RGP2C9
MGAM,MORGAN ADVANCED MATERIALS PL,BBG000BDT0J6
MGNS,MORGAN SINDALL GROUP PLC,BBG000CGJSS8
MAB1,MORTGAGE ADVICE BUREAU HOLDI,BBG007FCPZ79
MORT,MORTICE LTD,BBG000FBG313
MSMN,MOSMAN OIL & GAS LTD,BBG00640WYF5
MOSB,MOSS BROS GROUP PLC,BBG000BDVC07
MTC,MOTHERCARE PLC,BBG000C6N6M9
MTFB,MOTIF BIO PLC,BBG0081S2XP7
MTV,MOTIVE TELEVISION PLC,BBG000BXVV92
MOGP,MOUNTFIELD GROUP PLC,BBG000BP3DV5
MTVW,MOUNTVIEW ESTATES PLC,BBG000BBN845
MPM,MPORIUM GROUP PLC,BBG005NL7C02
MSI,MS INTERNATIONAL PLC,BBG000BDVMD1
MWE,MTI WIRELESS EDGE LTD,BBG000JGBPN0
MUL,MULBERRY GROUP PLC,BBG000GM5GH4
MUR,MURGITROYD GROUP PLC,BBG000CYGGY1
MSD,MUSEDIA CORP,BBG000P5GP89
MVLF,MV LEVERAGED FINANCE LTD,BBG000PM6541
MXO,MX OIL PLC,BBG000L2ZZV1
MXCP,MXC CAPITAL LTD,BBG000M0FY94
MIL,MYANMAR INVESTMENTS INTERNAT,BBG004RV5B85
MYXR,MYCELX TECHNOLOGIES CO-REG S,BBG001YDP3T6
MYX,MYCELX TECHNOLOGIES CORP-ADD,BBG003BZJ119
MYSL,MYSALE GROUP PLC,BBG006KJR4P7
MYSQ,MYSQUAR LTD,BBG008K91PW8
MYT,MYTRAH ENERGY LTD,BBG00162S0M1
NAH,NAHL GROUP PLC,BBG006GS6P23
