OCQLF,01 COMMUNIQUE LABORATORY INC,BBG000GGBTC7
ACSYF,ACCSYS TECHNOLOGIES PLC,BBG000QMNB39
ARAY,ACCURAY INC,BBG000QNRY51
ACXA,ACCUREXA INC,BBG005ZRX2D5
ACW,ACCURIDE CORP,BBG000QF2TP4
ACAVF,ACE AVIATION HOLDINGS INC,BBG005YQ8870
ACMG,ACE CONSULTING MANAGEMENT IN,BBG003PM8Z10
ACEHF,ACE HARDWARE INDONESIA,BBG0016Q19M8
ACE,ACE LTD,BBG000BR14K5
ACRX,ACELRX PHARMACEUTICALS INC,BBG0018YYFX7
ASIYF,ACER INC,BBG000PKDKZ0
ANIOF,ACERINOX SA,BBG000C0CL14
ACET,ACETO CORP,BBG000BB0S19
ACWY,ACEWAY CORP,BBG0050HWWP7
AKAO,ACHAOGEN INC,BBG000R4TCP6
ANPNF,ACHERON PORTFOLIO CORP-A,BBG003P0BFS9
ACHN,ACHILLION PHARMACEUTICALS,BBG000BPPV05
ACGJ,ACI GLOBAL CORP,BBG000BVKJD0
ACIW,ACI WORLDWIDE INC,BBG000PMBV39
AVHNF,ACKERMANS & VAN HAAREN,BBG000CPYZW0
VEIFF,ACKROO INC,BBG000CHBH99
ACKBF,ACL INTERNATIONAL LTD,BBG000DGFJX5
ACMA,ACM CORP,BBG001DM5TK3
ACMT,ACMAT CORP,BBG000BB25L5
ACMTA,ACMAT CORP -CL A,BBG000BB2LK1
ACME,ACME COMMUNICATIONS INC,BBG000C0QRX1
ARIZF,ACME RESOURCES INC,BBG000DTRMG6
ACU,ACME UNITED CORP,BBG000BB3LM8
ACNB,ACNB CORP,BBG000BJ2LY9
ACOL,ACOLOGY INC,BBG000CTH0H5
ACJJF,ACOM CO LTD,BBG000C12QL0
ACOR,ACORDA THERAPEUTICS INC,BBG000FD10V8
ACFN,ACORN ENERGY INC,BBG000CMY866
ACLD,ACQUIRE LTD,BBG000BF5QL7
AQSP,ACQUIRED SALES CORP,BBG000C332W6
8260519Z,ACQUISITION CAPITAL GROUP IN,BBG001NQ2797
ARBJ,ACROBOO INC,BBG001PD7M05
ARUXF,ACRUX LTD,BBG000R83GX7
ACSAF,ACS ACTIVIDADES CONS Y SERV,BBG000BX7WP9
AMCY,ACS GLOBAL INC,BBG000BBC8D7
ACSEF,ACS MOTION CONTROL LTD,BBG000BV0WM3
AACTF,ACT AURORA CONTROL TECHNOLOG,BBG005BTJ9X6
ACLH,ACT CLEAN TECHNOLOGIES INC,BBG000BDDMH7
ACT,ACTAVIS PLC,BBG000FH8PX5
ALIOF,ACTELION LTD-REG,BBG000BS7KG6
ATNM,ACTINIUM PHARMACEUTICALS INC,BBG000RQZ245
AECFF,ACTION ENERGY INC,BBG000C47LP6
AVEW,ACTIONVIEW INTERNATIONAL INC,BBG000NKVLD4
ATRVF,ACTIVA RESOURCES AG,BBG0017DXDK4
ATVBF,ACTIVE BIOTECH AB,BBG000C27M96
ATIVF,ACTIVE CONTROL TECHNOLOGY,BBG000CD4342
AHFD,ACTIVE HEALTH FOODS INC,BBG001YF9W33
ACPW,ACTIVE POWER INC,BBG000CGT0T7
ATVM,ACTIVE WITH ME INC,BBG005846V15
ACAR,ACTIVECARE INC,BBG000J1FQY5
ATVI,ACTIVISION BLIZZARD INC,BBG000CVWGS6
ACTA,ACTUA CORP,BBG000BB7923
ATU,ACTUANT CORP-A,BBG000B9WX45
BIRT,ACTUATE CORP,BBG000C34LX2
AUCL,ACUCELA INC,BBG005Q4X3N3
AYI,ACUITY BRANDS INC,BBG000BJ5HK0
ACUR,ACURA PHARMACEUTICALS INC,BBG000J0MK45
ACUS,ACUSPHERE INC,BBG000BCCXZ6
ACXM,ACXIOM CORP,BBG000BB4HM6
ADCV,AD CAPITAL US INC,BBG000BQ80C7
MAKE,AD MAKEPEACE COMPANY,BBG000BJ6H65
ADPMF,AD PEPPER MEDIA INTL NV,BBG000CM9T95
AELTF,ADACEL TECHNOLOGIES LTD,BBG000FYYB79
ADAC,ADAMA TECHNOLOGIES CORP,BBG000G28S07
ADMG,ADAMANT DRI PROCESSING AND M,BBG000BJ1441
ADMS,ADAMAS PHARMACEUTICALS INC,BBG00203JGZ4
